region_id	split	west	south	east	north
mp_grid_x25_y17_val	val	80.00	25.00	80.50	25.50
mp_grid_x14_y18_val	val	77.25	25.25	77.75	25.75
mp_grid_x17_y06_val	val	78.00	22.25	78.50	22.75
mp_grid_x31_y16_val	val	81.50	24.75	82.00	25.25
mp_grid_x27_y15_val	val	80.50	24.50	81.00	25.00
mp_grid_x14_y02_val	val	77.25	21.25	77.75	21.75
mp_grid_x05_y16_val	val	75.00	24.75	75.50	25.25
mp_grid_x17_y18_val	val	78.00	25.25	78.50	25.75
mp_grid_x03_y14_val	val	74.50	24.25	75.00	24.75
mp_grid_x07_y13_val	val	75.50	24.00	76.00	24.50
mp_grid_x19_y19_val	val	78.50	25.50	79.00	26.00
mp_grid_x16_y09_val	val	77.75	23.00	78.25	23.50
mp_grid_x05_y14_val	val	75.00	24.25	75.50	24.75
mp_grid_x29_y16_val	val	81.00	24.75	81.50	25.25
mp_grid_x12_y20_val	val	76.75	25.75	77.25	26.25
mp_grid_x10_y07_test	test	76.25	22.50	76.75	23.00
mp_grid_x28_y05_test	test	80.75	22.00	81.25	22.50
mp_grid_x01_y04_test	test	74.00	21.75	74.50	22.25
mp_grid_x19_y23_test	test	78.50	26.50	79.00	27.00
mp_grid_x17_y23_test	test	78.00	26.50	78.50	27.00
mp_grid_x26_y02_test	test	80.25	21.25	80.75	21.75
mp_grid_x01_y06_test	test	74.00	22.25	74.50	22.75
mp_grid_x26_y04_test	test	80.25	21.75	80.75	22.25
mp_grid_x18_y22_test	test	78.25	26.25	78.75	26.75
mp_grid_x34_y14_test	test	82.25	24.25	82.75	24.75
mp_grid_x16_y22_test	test	77.75	26.25	78.25	26.75
mp_grid_x10_y01_test	test	76.25	21.00	76.75	21.50
mp_grid_x16_y20_test	test	77.75	25.75	78.25	26.25
mp_grid_x34_y12_test	test	82.25	23.75	82.75	24.25
mp_grid_x17_y22_test	test	78.00	26.25	78.50	26.75
mp_grid_x26_y03_test	test	80.25	21.50	80.75	22.00
mp_grid_x18_y21_test	test	78.25	26.00	78.75	26.50
mp_grid_x27_y04_test	test	80.50	21.75	81.00	22.25
mp_grid_x18_y23_test	test	78.25	26.50	78.75	27.00
mp_grid_x01_y05_test	test	74.00	22.00	74.50	22.50
mp_grid_x10_y06_test	test	76.25	22.25	76.75	22.75
mp_grid_x02_y08_test	test	74.25	22.75	74.75	23.25
mp_grid_x17_y20_test	test	78.00	25.75	78.50	26.25
mp_grid_x35_y12_test	test	82.50	23.75	83.00	24.25
mp_grid_x25_y04_test	test	80.00	21.75	80.50	22.25
mp_grid_x16_y13_train	train	77.75	24.00	78.25	24.50
mp_grid_x31_y07_train	train	81.50	22.50	82.00	23.00
mp_grid_x10_y09_train	train	76.25	23.00	76.75	23.50
mp_grid_x29_y12_train	train	81.00	23.75	81.50	24.25
mp_grid_x15_y11_train	train	77.50	23.50	78.00	24.00
mp_grid_x27_y13_train	train	80.50	24.00	81.00	24.50
mp_grid_x13_y12_train	train	77.00	23.75	77.50	24.25
mp_grid_x23_y13_train	train	79.50	24.00	80.00	24.50
mp_grid_x17_y11_train	train	78.00	23.50	78.50	24.00
mp_grid_x23_y07_train	train	79.50	22.50	80.00	23.00
mp_grid_x08_y05_train	train	75.75	22.00	76.25	22.50
mp_grid_x20_y13_train	train	78.75	24.00	79.25	24.50
mp_grid_x12_y08_train	train	76.75	22.75	77.25	23.25
mp_grid_x19_y07_train	train	78.50	22.50	79.00	23.00
mp_grid_x05_y02_train	train	75.00	21.25	75.50	21.75
mp_grid_x18_y13_train	train	78.25	24.00	78.75	24.50
mp_grid_x12_y10_train	train	76.75	23.25	77.25	23.75
mp_grid_x12_y16_train	train	76.75	24.75	77.25	25.25
mp_grid_x21_y06_train	train	79.00	22.25	79.50	22.75
mp_grid_x18_y04_train	train	78.25	21.75	78.75	22.25
mp_grid_x06_y05_train	train	75.25	22.00	75.75	22.50
mp_grid_x25_y13_train	train	80.00	24.00	80.50	24.50
mp_grid_x21_y03_train	train	79.00	21.50	79.50	22.00
mp_grid_x26_y09_train	train	80.25	23.00	80.75	23.50
mp_grid_x06_y10_train	train	75.25	23.25	75.75	23.75
mp_grid_x22_y09_train	train	79.25	23.00	79.75	23.50
mp_grid_x20_y10_train	train	78.75	23.25	79.25	23.75
mp_grid_x31_y12_train	train	81.50	23.75	82.00	24.25
mp_grid_x14_y16_train	train	77.25	24.75	77.75	25.25
mp_grid_x24_y11_train	train	79.75	23.50	80.25	24.00
mp_grid_x27_y07_train	train	80.50	22.50	81.00	23.00
mp_grid_x09_y12_train	train	76.00	23.75	76.50	24.25
mp_grid_x30_y11_train	train	81.25	23.50	81.75	24.00
mp_grid_x25_y10_train	train	80.00	23.25	80.50	23.75
mp_grid_x24_y06_train	train	79.75	22.25	80.25	22.75
mp_grid_x23_y10_train	train	79.50	23.25	80.00	23.75
mp_grid_x15_y14_train	train	77.50	24.25	78.00	24.75
mp_grid_x14_y13_train	train	77.25	24.00	77.75	24.50
mp_grid_x13_y07_train	train	77.00	22.50	77.50	23.00
mp_grid_x12_y13_train	train	76.75	24.00	77.25	24.50
mp_grid_x05_y04_train	train	75.00	21.75	75.50	22.25
mp_grid_x10_y11_train	train	76.25	23.50	76.75	24.00
mp_grid_x14_y06_train	train	77.25	22.25	77.75	22.75
mp_grid_x03_y10_train	train	74.50	23.25	75.00	23.75
mp_grid_x30_y08_train	train	81.25	22.75	81.75	23.25
mp_grid_x09_y10_train	train	76.00	23.25	76.50	23.75
mp_grid_x03_y03_train	train	74.50	21.50	75.00	22.00
mp_grid_x25_y08_train	train	80.00	22.75	80.50	23.25
mp_grid_x28_y09_train	train	80.75	23.00	81.25	23.50
mp_grid_x28_y11_train	train	80.75	23.50	81.25	24.00
mp_grid_x08_y08_train	train	75.75	22.75	76.25	23.25
mp_grid_x14_y08_train	train	77.25	22.75	77.75	23.25
mp_grid_x19_y05_train	train	78.50	22.00	79.00	22.50
mp_grid_x03_y05_train	train	74.50	22.00	75.00	22.50
mp_grid_x07_y11_train	train	75.50	23.50	76.00	24.00
mp_grid_x14_y10_train	train	77.25	23.25	77.75	23.75
mp_grid_x29_y07_train	train	81.00	22.50	81.50	23.00
mp_grid_x32_y12_train	train	81.75	23.75	82.25	24.25
mp_grid_x30_y12_train	train	81.25	23.75	81.75	24.25
mp_grid_x30_y07_train	train	81.25	22.50	81.75	23.00
mp_grid_x29_y11_train	train	81.00	23.50	81.50	24.00
mp_grid_x28_y12_train	train	80.75	23.75	81.25	24.25
mp_grid_x27_y12_train	train	80.50	23.75	81.00	24.25
mp_grid_x27_y09_train	train	80.50	23.00	81.00	23.50
mp_grid_x27_y08_train	train	80.50	22.75	81.00	23.25
mp_grid_x26_y13_train	train	80.25	24.00	80.75	24.50
mp_grid_x26_y10_train	train	80.25	23.25	80.75	23.75
mp_grid_x26_y08_train	train	80.25	22.75	80.75	23.25
mp_grid_x25_y09_train	train	80.00	23.00	80.50	23.50
mp_grid_x24_y13_train	train	79.75	24.00	80.25	24.50
mp_grid_x24_y12_train	train	79.75	23.75	80.25	24.25
mp_grid_x24_y10_train	train	79.75	23.25	80.25	23.75
mp_grid_x24_y07_train	train	79.75	22.50	80.25	23.00
mp_grid_x23_y12_train	train	79.50	23.75	80.00	24.25
mp_grid_x23_y11_train	train	79.50	23.50	80.00	24.00
mp_grid_x23_y08_train	train	79.50	22.75	80.00	23.25
mp_grid_x23_y06_train	train	79.50	22.25	80.00	22.75
mp_grid_x22_y13_train	train	79.25	24.00	79.75	24.50
mp_grid_x22_y10_train	train	79.25	23.25	79.75	23.75
mp_grid_x22_y08_train	train	79.25	22.75	79.75	23.25
mp_grid_x22_y07_train	train	79.25	22.50	79.75	23.00
mp_grid_x22_y06_train	train	79.25	22.25	79.75	22.75
mp_grid_x22_y03_train	train	79.25	21.50	79.75	22.00
mp_grid_x21_y13_train	train	79.00	24.00	79.50	24.50
mp_grid_x21_y10_train	train	79.00	23.25	79.50	23.75
mp_grid_x21_y09_train	train	79.00	23.00	79.50	23.50
mp_grid_x21_y05_train	train	79.00	22.00	79.50	22.50
mp_grid_x21_y04_train	train	79.00	21.75	79.50	22.25
mp_grid_x20_y14_train	train	78.75	24.25	79.25	24.75
mp_grid_x20_y12_train	train	78.75	23.75	79.25	24.25
mp_grid_x20_y11_train	train	78.75	23.50	79.25	24.00
mp_grid_x20_y09_train	train	78.75	23.00	79.25	23.50
mp_grid_x20_y07_train	train	78.75	22.50	79.25	23.00
mp_grid_x20_y06_train	train	78.75	22.25	79.25	22.75
mp_grid_x19_y06_train	train	78.50	22.25	79.00	22.75
mp_grid_x18_y12_train	train	78.25	23.75	78.75	24.25
mp_grid_x18_y11_train	train	78.25	23.50	78.75	24.00
mp_grid_x17_y13_train	train	78.00	24.00	78.50	24.50
mp_grid_x17_y12_train	train	78.00	23.75	78.50	24.25
mp_grid_x16_y14_train	train	77.75	24.25	78.25	24.75
mp_grid_x16_y12_train	train	77.75	23.75	78.25	24.25
mp_grid_x16_y11_train	train	77.75	23.50	78.25	24.00
mp_grid_x15_y13_train	train	77.50	24.00	78.00	24.50
mp_grid_x15_y12_train	train	77.50	23.75	78.00	24.25
mp_grid_x14_y12_train	train	77.25	23.75	77.75	24.25
mp_grid_x14_y11_train	train	77.25	23.50	77.75	24.00
mp_grid_x13_y16_train	train	77.00	24.75	77.50	25.25
mp_grid_x13_y13_train	train	77.00	24.00	77.50	24.50
mp_grid_x13_y11_train	train	77.00	23.50	77.50	24.00
mp_grid_x13_y10_train	train	77.00	23.25	77.50	23.75
mp_grid_x13_y08_train	train	77.00	22.75	77.50	23.25
mp_grid_x12_y15_train	train	76.75	24.50	77.25	25.00
mp_grid_x12_y12_train	train	76.75	23.75	77.25	24.25
mp_grid_x12_y11_train	train	76.75	23.50	77.25	24.00
mp_grid_x12_y09_train	train	76.75	23.00	77.25	23.50
mp_grid_x12_y07_train	train	76.75	22.50	77.25	23.00
mp_grid_x11_y11_train	train	76.50	23.50	77.00	24.00
mp_grid_x11_y10_train	train	76.50	23.25	77.00	23.75
mp_grid_x11_y09_train	train	76.50	23.00	77.00	23.50
mp_grid_x10_y10_train	train	76.25	23.25	76.75	23.75
mp_grid_x09_y09_train	train	76.00	23.00	76.50	23.50
mp_grid_x08_y06_train	train	75.75	22.25	76.25	22.75
mp_grid_x08_y04_train	train	75.75	21.75	76.25	22.25
mp_grid_x07_y10_train	train	75.50	23.25	76.00	23.75
mp_grid_x07_y05_train	train	75.50	22.00	76.00	22.50
mp_grid_x06_y09_train	train	75.25	23.00	75.75	23.50
mp_grid_x06_y02_train	train	75.25	21.25	75.75	21.75
mp_grid_x05_y10_train	train	75.00	23.25	75.50	23.75
mp_grid_x05_y05_train	train	75.00	22.00	75.50	22.50
mp_grid_x05_y03_train	train	75.00	21.50	75.50	22.00
